semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1112,D8878,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,3
1112,D8879,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,戴偉勝,3
1112,D3880,品設四Ａ,專業期刊研讀與寫作,(4215),必,7,8,星期一,2,2,王譔博,3
1112,D3503,老服三Ａ,衛生統計學實務,(T411),必,7,8,星期一,2,2,陳文意,3
1112,D3493,老服三Ａ,老人營養與膳食設計,(R308),選,5,6,星期一,2,2,陳怡芳,3
1112,D3506,老服三Ａ,樂齡教育,(R308),必,3,4,星期一,2,2,陳文意,3
1112,D3527,美容三Ａ,研究方法與論文寫作,(R206),必,3,4,星期一,2,2,高而仕,3
1112,D3520,美容三Ａ,中草藥美容應用,(T113),選,5,7,星期一,3,3,林恩仕,3
1112,D3589,企管三Ａ,公司理財,(7416),必,2,4,星期一,3,3,王朝仕,3
1112,D3618,保金三Ａ,人身保險,(7505),必,5,7,星期一,3,3,謝淑慧,3
